DATAFLOW,LAST UPDATE,freq,na_item,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2019-Q4,60392.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2020-Q1,60776.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2020-Q2,57272.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2020-Q3,59743.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2020-Q4,60204.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2021-Q1,60897.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2021-Q2,62600.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2021-Q3,64035.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2021-Q4,65402.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FI,2022-Q1,66282.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2019-Q2,610942.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2019-Q3,612521.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2019-Q4,611863.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2020-Q1,584395.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2020-Q2,524817.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2020-Q3,600556.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2020-Q4,599969.4,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2021-Q1,606423.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2021-Q2,616661.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2021-Q3,635734.3,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2021-Q4,640003.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,FR,2022-Q1,642221.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,HR,2019-Q2,13880.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,HR,2019-Q3,13931.4,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,HR,2019-Q4,14097.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,HR,2020-Q1,13874.1,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,HR,2020-Q2,11609.9,p
